system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
763,0,594.0,803.0,1060.0,2113.0,65535.0,351.0,453.0,631.0,1266.0,65535.0,"{""type"":""Point"",""coordinates"":[27.324816067599116,49.05457243434984]}"
764,3,848.0,1221.0,1664.0,2582.0,65535.0,762.0,973.0,1311.0,2098.0,65535.0,"{""type"":""Point"",""coordinates"":[37.39609896172636,47.44718570855429]}"
766,1,651.0,851.0,1125.0,2071.0,65535.0,655.0,777.0,1031.0,1632.0,65535.0,"{""type"":""Point"",""coordinates"":[33.34734158777394,47.45753934094797]}"
767,4,807.0,962.0,1247.0,2120.0,65535.0,832.0,1001.0,1292.0,2274.0,65535.0,"{""type"":""Point"",""coordinates"":[34.97000764484676,47.674592462270155]}"
770,3,928.0,1278.0,1789.0,2529.0,65535.0,901.0,1222.0,1678.0,2473.0,65535.0,"{""type"":""Point"",""coordinates"":[33.98838858825249,45.44003426083368]}"
780,0,462.0,634.0,769.0,1970.0,65535.0,387.0,561.0,654.0,1871.0,65535.0,"{""type"":""Point"",""coordinates"":[36.80593439096698,49.685744132522935]}"
782,5,600.0,871.0,1254.0,2355.0,65535.0,573.0,721.0,956.0,1638.0,65535.0,"{""type"":""Point"",""coordinates"":[27.392309737421765,50.037720821579114]}"
784,2,622.0,749.0,921.0,1763.0,65535.0,623.0,751.0,921.0,1724.0,65535.0,"{""type"":""Point"",""coordinates"":[35.468990641623876,47.60774673970572]}"
799,5,539.0,791.0,1127.0,2249.0,65535.0,709.0,923.0,1245.0,2294.0,65535.0,"{""type"":""Point"",""coordinates"":[35.8488148036026,45.0334371403209]}"
800,0,436.0,624.0,745.0,2029.0,65535.0,431.0,537.0,635.0,1530.0,65535.0,"{""type"":""Point"",""coordinates"":[30.143265724570327,46.6780016809089]}"
810,3,784.0,1168.0,1397.0,2809.0,65535.0,533.0,828.0,930.0,2424.0,65535.0,"{""type"":""Point"",""coordinates"":[27.648886789576242,48.76333715429534]}"
818,2,380.0,405.0,579.0,1079.0,65535.0,633.0,827.0,1174.0,1854.0,65535.0,"{""type"":""Point"",""coordinates"":[36.879087491421096,47.298184542088435]}"
823,3,463.0,643.0,941.0,1866.0,65535.0,491.0,656.0,933.0,1878.0,65535.0,"{""type"":""Point"",""coordinates"":[34.04411395759759,51.64623682969204]}"
824,2,691.0,919.0,1190.0,1928.0,65535.0,670.0,805.0,1153.0,1641.0,65535.0,"{""type"":""Point"",""coordinates"":[32.78794903517257,47.24110092794557]}"
825,3,717.0,1123.0,1596.0,3012.0,65535.0,767.0,1014.0,1462.0,2024.0,65535.0,"{""type"":""Point"",""coordinates"":[33.34617420635084,45.393120603046306]}"
827,5,391.0,542.0,611.0,1752.0,65535.0,765.0,1055.0,1428.0,2462.0,65535.0,"{""type"":""Point"",""coordinates"":[34.693538133072565,49.411715717115754]}"
842,0,583.0,755.0,1004.0,1837.0,65535.0,559.0,722.0,988.0,1719.0,65535.0,"{""type"":""Point"",""coordinates"":[37.39101248017612,48.67026819544599]}"
846,2,443.0,619.0,683.0,2074.0,65535.0,648.0,883.0,1204.0,2304.0,65535.0,"{""type"":""Point"",""coordinates"":[35.919072500703464,50.045061090050176]}"
848,1,1014.0,1440.0,2107.0,3256.0,65535.0,850.0,1126.0,1548.0,2393.0,65535.0,"{""type"":""Point"",""coordinates"":[28.710923756584577,45.53353697134904]}"
851,2,379.0,584.0,439.0,4192.0,65535.0,285.0,548.0,311.0,4828.0,65535.0,"{""type"":""Point"",""coordinates"":[29.377368266388807,45.4889691845056]}"
856,4,744.0,1114.0,1541.0,2613.0,65535.0,724.0,965.0,1294.0,2158.0,65535.0,"{""type"":""Point"",""coordinates"":[35.00665693659509,48.750007384671974]}"
857,4,745.0,1185.0,1630.0,3364.0,65535.0,619.0,824.0,1022.0,2736.0,65535.0,"{""type"":""Point"",""coordinates"":[33.726762218895544,46.838684799856026]}"
873,3,661.0,902.0,1208.0,2299.0,65535.0,883.0,1134.0,1405.0,2433.0,65535.0,"{""type"":""Point"",""coordinates"":[37.493359285927596,48.94495232641557]}"
876,0,454.0,681.0,760.0,1852.0,65535.0,492.0,696.0,804.0,2065.0,65535.0,"{""type"":""Point"",""coordinates"":[36.132784223854905,50.42251292032329]}"
877,5,511.0,675.0,926.0,2071.0,65535.0,741.0,950.0,1406.0,2352.0,65535.0,"{""type"":""Point"",""coordinates"":[33.00689511410891,48.48754667090892]}"
885,4,881.0,1265.0,1721.0,3141.0,65535.0,732.0,1070.0,1271.0,2762.0,65535.0,"{""type"":""Point"",""coordinates"":[37.413200268900475,47.30573892936071]}"
886,1,941.0,1368.0,1838.0,2955.0,65535.0,856.0,1156.0,1482.0,2371.0,65535.0,"{""type"":""Point"",""coordinates"":[32.57367369019663,46.874603603120825]}"
898,3,786.0,1061.0,1443.0,2406.0,65535.0,706.0,1067.0,1175.0,2655.0,65535.0,"{""type"":""Point"",""coordinates"":[24.40372403995844,51.527934236206676]}"
921,0,626.0,921.0,1378.0,2785.0,65535.0,491.0,897.0,714.0,3002.0,65535.0,"{""type"":""Point"",""coordinates"":[25.180117793527774,49.192224487582486]}"
922,0,459.0,596.0,775.0,2033.0,65535.0,499.0,644.0,737.0,2577.0,65535.0,"{""type"":""Point"",""coordinates"":[35.98038220376115,49.28433937666687]}"
928,1,532.0,812.0,855.0,2935.0,65535.0,451.0,600.0,834.0,1572.0,65535.0,"{""type"":""Point"",""coordinates"":[31.404060853945882,47.8436886878266]}"
935,3,812.0,1107.0,1338.0,3047.0,65535.0,683.0,787.0,1105.0,1718.0,65535.0,"{""type"":""Point"",""coordinates"":[36.5951652729813,48.92470529757506]}"
938,3,507.0,728.0,876.0,1877.0,65535.0,395.0,642.0,717.0,2292.0,65535.0,"{""type"":""Point"",""coordinates"":[24.888428367243627,51.00433281611978]}"
944,0,464.0,672.0,823.0,2468.0,65535.0,460.0,635.0,752.0,2079.0,65535.0,"{""type"":""Point"",""coordinates"":[37.67448158319868,48.770461158943924]}"
