system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
5819,3,622.0,916.0,1225.0,2101.0,65535.0,821.0,1163.0,1517.0,2546.0,65535.0,"{""type"":""Point"",""coordinates"":[36.046106852568776,45.32909192790669]}"
5824,3,352.0,585.0,433.0,3999.0,65535.0,495.0,721.0,960.0,2230.0,65535.0,"{""type"":""Point"",""coordinates"":[25.662068078939978,49.73831796387625]}"
5827,2,803.0,1186.0,1799.0,3609.0,65535.0,732.0,1063.0,1678.0,2801.0,65535.0,"{""type"":""Point"",""coordinates"":[32.29590945832997,47.418208531973555]}"
5828,2,418.0,607.0,724.0,2231.0,65535.0,443.0,642.0,691.0,2339.0,65535.0,"{""type"":""Point"",""coordinates"":[34.29461537349171,49.25045713688956]}"
5837,3,561.0,793.0,1141.0,2025.0,65535.0,1237.0,1716.0,2442.0,3375.0,65535.0,"{""type"":""Point"",""coordinates"":[34.56307869638925,46.629583979923346]}"
5841,0,319.0,473.0,691.0,1636.0,65535.0,586.0,648.0,872.0,1734.0,65535.0,"{""type"":""Point"",""coordinates"":[38.07854098259041,49.69031917354879]}"
5846,0,271.0,476.0,310.0,3605.0,65535.0,308.0,544.0,382.0,3780.0,65535.0,"{""type"":""Point"",""coordinates"":[29.236731204191873,49.1528934134402]}"
5866,3,343.0,640.0,473.0,4437.0,65535.0,759.0,1238.0,1519.0,3383.0,65535.0,"{""type"":""Point"",""coordinates"":[32.95130431582848,50.57239023426466]}"
5870,3,362.0,614.0,739.0,2725.0,65535.0,511.0,758.0,1000.0,2487.0,65535.0,"{""type"":""Point"",""coordinates"":[32.31958896342658,49.62993089210744]}"
5875,1,1209.0,1800.0,2662.0,4334.0,65535.0,1276.0,1859.0,2555.0,3832.0,65535.0,"{""type"":""Point"",""coordinates"":[29.03630656615091,46.244919110834886]}"
5887,1,563.0,764.0,1027.0,2071.0,65535.0,627.0,838.0,1079.0,1962.0,65535.0,"{""type"":""Point"",""coordinates"":[29.05288324600062,45.70200976431551]}"
5893,1,792.0,1065.0,1444.0,2317.0,65535.0,929.0,1216.0,1604.0,2636.0,65535.0,"{""type"":""Point"",""coordinates"":[34.93481623917587,47.68192279859091]}"
5897,2,983.0,1469.0,2050.0,3305.0,65535.0,1090.0,1579.0,2212.0,3349.0,65535.0,"{""type"":""Point"",""coordinates"":[28.83175429156837,45.72342691146219]}"
5903,3,384.0,732.0,763.0,2895.0,65535.0,870.0,1270.0,1768.0,3386.0,65535.0,"{""type"":""Point"",""coordinates"":[25.389455942971438,49.253315157120106]}"
5909,2,572.0,885.0,1452.0,2706.0,65535.0,717.0,1034.0,1562.0,2689.0,65535.0,"{""type"":""Point"",""coordinates"":[34.397907744542266,47.79182230789245]}"
5915,2,671.0,934.0,1351.0,2559.0,65535.0,1224.0,1818.0,2626.0,4350.0,65535.0,"{""type"":""Point"",""coordinates"":[32.43877398259549,47.66498948074905]}"
5919,3,400.0,715.0,666.0,3557.0,65535.0,521.0,760.0,958.0,2321.0,65535.0,"{""type"":""Point"",""coordinates"":[24.39015820163061,50.55586085513907]}"
5920,3,574.0,880.0,1213.0,2924.0,65535.0,797.0,1101.0,1543.0,2774.0,65535.0,"{""type"":""Point"",""coordinates"":[30.65352514202031,48.27188935203369]}"
5931,0,516.0,693.0,1073.0,2005.0,65535.0,537.0,759.0,1083.0,1981.0,65535.0,"{""type"":""Point"",""coordinates"":[36.333666816635684,48.81938140621829]}"
5935,2,625.0,847.0,1359.0,2362.0,65535.0,684.0,950.0,1312.0,2442.0,65535.0,"{""type"":""Point"",""coordinates"":[37.18503719759127,47.3042360290509]}"
